1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
1,M/BENZ,PRIME MOVER,,KCL077K,,,WDB9440322L541005,,,,2800000,COM,,,,,10000,75000,75000,75000,,20000000,13008230,KCL077K,,,,COMP/H/04249/H,,,,,
2,M/BENZ,PRIME MOVER,,KCL074C,,,WDB9440322L542081,,,,2700000,COM,,,,,10000,75000,75000,75000,,20000000,13008231,KCL074C,,,,COMP/H/04249/H,,,,,
3,M/BENZ,PRIME MOVER,,KCK086J,,,WDB9440332L300966,,,,2600000,COM,,,,,10000,75000,75000,75000,,20000000,13008232,KCK086J,,,,COMP/H/04249/H,,,,,
4,M/BENZ,PRIME MOVER,,KCK089J,,,WDB9440332L313037,,,,2600000,COM,,,,,10000,75000,75000,75000,,20000000,13008233,KCK089J,,,,COMP/H/04249/H,,,,,
5,M/BENZ,PRIME MOVER,,KCD087L,,,WDB94423321519572,,,,2550000,COM,,,,,10000,75000,75000,75000,,20000000,13008234,KCD087L,,,,COMP/H/04249/H,,,,,
6,M/BENZ,PRIME MOVER,,KBS099V,,,WDB9440322K958429,,,,1800000,COM,,,,,10000,75000,75000,75000,,20000000,13008235,KBS099V,,,,COMP/H/04249/H,,,,,
7,M/BENZ,PRIME MOVER,,KCA093R,,,WDF9440322B966301,,,,2250000,COM,,,,,10000,75000,75000,75000,,20000000,13008333,KCA093R,,,,COMP/H/04249/H,,,,,
8,M/BENZ,PRIME MOVER,,KCH989Y,,,WD59442332L537987,,,,2700000,COM,,,,,10000,75000,75000,75000,,20000000,13008236,KCH989Y,,,,COMP/H/04249/H,,,,,
9,M/BENZ,PRIME MOVER,,KCG079Z,,,WDB9442332L448519,,,,2450000,COM,,,,,10000,75000,75000,75000,,20000000,13008237,KCG079Z,,,,COMP/H/04249/H,,,,,
