1,2,3,4,5,6,7,8,9,10,11,12.00,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
1,MITSUBISHI PAJERO SPORT KH4,,,KBU750Y,,,MMBGRKH40CF037994,4,,,990000.00,COM,120000,75000,,,20000000,,,,,7500,28460204,,,,,COMP/07/49864/07,,,,,
2,MITSUBISHI PAJERO KH4,,,KBU922Z,,,MMBGRKH40DF006119,4,,,1800000.00,COM,100000,75000,,,20000000,,,,,7500,28460205,,,,,COMP/07/49864/07,,,,,
3,MITSUBISHI PAJERO SPORT KH4,,,KBW669X,,,MMBGRKH40DF012358,4,,,990000.00,COM,120000,75000,,,20000000,,,,,7500,28460206,,,,,COMP/07/49864/07,,,,,
4,MITSUBISHI PAJERO SPORT KH4,,,KBX504E,,,MMBGRKH40ED004798,4,,,990000.00,COM,120000,75000,,,20000000,,,,,7500,28460207,,,,,COMP/07/49864/07,,,,,
5,MITSUBISHI PAJERO V93,,,KBX841G,,,JMYLYV98WDJ002179,4,,,1530000.00,COM,120000,75000,,,20000000,,,,,7500,28460208,,,,,COMP/07/49864/07,,,,,
6,MITSUBISHI PAJERO SPORT KH4,,,KBY176A,,,MMBGRKH40ED004946,4,,,630000.00,COM,75000,75000,,,20000000,,,,,7500,28460209,,,,,COMP/07/49864/07,,,,,
7,MITUSBISHI PAJERO V98,,,KBY219A,,,JMYLYV98WDJ002219,4,,,1800000.00,COM,120000,75000,,,20000000,,,,,7500,28460210,,,,,COMP/07/49864/07,,,,,
8,MITSUBISHI PAJERO SPORT KH4,,,KBY438A,,,MMBGRKH40ED004795,4,,,1080000.00,COM,120000,75000,,,20000000,,,,,7500,28460211,,,,,COMP/07/49864/07,,,,,
9,MITSUBISHI PAJERO SPORT KH4,,,KBY512F,,,MMBGRKH40ED007557,4,,,1080000.00,COM,120000,75000,,,20000000,,,,,7500,28460212,,,,,COMP/07/49864/07,,,,,
